名称,稀有度,价格,用途,介绍,获取途径,标签,类型,子类型,规格,家装系列,舒适度,收藏值,角色特殊互动,pics,,
教父Lite,金,0,塔吉多形象的家具摆件,可爱的家居摆件，记录了塔吉多这一塔生中最难忘的时刻（目前是这样），和一段失败的奔现。,暂无，感觉应该是随主线获取,家装、不可购买,装饰,摆件,S,,40,200,,教父Lite,,
特装心猎铁骑-L1,蓝,10000,为庆祝「心猎铁骑」第三季开播推出的特别涂装款,为庆祝「心猎铁骑」第三季开播推出的特别涂装款，据说采用了全新的制作工艺，让装甲更加闪耀，非常具有收藏价值。,"娃娃机
【5000方斯抓一次】",家装、可购买、特殊获取,装饰,摆件,S,娃娃机系列,20,100,,特装心猎铁骑-L1,,
银月圆舞会-浅绯祈,蓝,10000,以绘莉人偶作品「邂逅-银月圆舞会」为原型创作的玩偶,以绘莉人偶作品「邂逅-银月圆舞会」为原型创作的玩偶，满月洒下银辉，神秘舞会即将开始，你又会选择谁成为今夜的舞伴？,"娃娃机
【5000方斯抓一次】",家装、可购买、特殊获取,装饰,摆件,S,娃娃机系列,20,100,,银月圆舞会-浅绯祈,,
巡哨-干练精英,蓝,10000,以「巡哨鼠鼠」为原型设计的玩偶,以「巡哨鼠鼠」为原型设计的玩偶，鼠鼠只喜欢遵守交通规则的好市民。,"娃娃机
【5000方斯抓一次】",家装、可购买、特殊获取,装饰,摆件,S,娃娃机系列,20,100,,巡哨-干练精英,,
奇迹时刻-肯特,蓝,10000,动画「猫与狗」联动DSD推出的系列玩偶,动画「猫与狗」联动DSD推出的系列玩偶，在联动特别剧情中，水手肯特以及司机大路又将展开一段全新的故事。,"娃娃机
【5000方斯抓一次】",家装、可购买、特殊获取,装饰,摆件,S,娃娃机系列,20,100,,奇迹时刻-肯特,,
编织收纳箱-棕,蓝,15000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,实用的收纳好物。棕色的大容量收纳箱，结实耐用，适合收纳各种杂物，节省家居空间。,Oops! Chest礼品店(绘空町),家装、可购买,装饰,摆件,S,Oops! Chest摆件系列,30,150,,编织收纳箱-棕,,
编织收纳箱-白,蓝,15000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,实用的收纳好物。白色的大容量收纳箱，结实耐用，适合收纳各种杂物，节省家居空间。,Oops! Chest礼品店(绘空町),家装、可购买,装饰,摆件,S,Oops! Chest摆件系列,30,150,,编织收纳箱-白,,
安魂曲的手提箱,金,80000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,为安魂曲量身定制的户外睡眠用手提箱，内置安魂曲专用的抱枕与毯子，安魂曲只要见到就会想要钻进去。,超规格家饰馆(新赫兰德区),家装、可购买,装饰,摆件,S,,160,800,安魂曲,安魂曲的手提箱,,
加厚瑜伽球,金,80000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,质量极佳的家用瑜伽球，可以放开了手脚锻炼。,"超规格家饰馆(新赫兰德区)
【显示礼物实际不可赠送】",家装、可购买,装饰,摆件,M,,30,150,真红,加厚瑜伽球,,
,金,0,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,质量极佳的家用瑜伽球，可以放开了手脚锻炼。,"超规格家饰馆(新赫兰德区)
【图标用的和加厚瑜伽球同一个何意味？】
【而且实际上在店里购物页面找不到】
【也没有舒适度收藏值标识】",家装、不可购买、礼物,装饰,摆件,M,,,,,赛车奖杯,,
「碧波之星」冠军奖杯,金,0,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,特殊的纪念奖杯。纯金制作，分量沉重。顶上的星芒不止铭刻比分，更见证了你们并肩而行的羁绊。托起它，托起属于你们的「碧波之星」。,"超规格家饰馆(新赫兰德区)
【实际上在店里购物页面找不到】
【而且并非礼物】
「碧波之星」活动奖励",家装、不可购买、礼物,装饰,摆件,S,,30,150,,「碧波之星」冠军奖杯,,
梦中茧 ,金,0,可以装饰家里的摆件，收录后增加收藏值，摆放在家中可增加舒适度。,白藏赠送的装饰品。蝴蝶飞过梦境，洒下金色的鳞粉，祝你拥有一个甜美的好梦。,"暂无
【怎么还有个金色的梦中茧，何以啊？】
【也没有舒适度收藏值标识】",家装、不可购买,装饰,摆件,S,,,,,梦中茧 ,,
贺·卡佩,蓝,420000,现代艺术大师拉赫曼设计的纪念品，它的存在就是为了收藏。收录后增加收藏值，摆放在家中可增加舒适度。,"现代艺术大师拉赫曼为庆祝卡佩大酒店顺利建成而设计的纪念品，以碗类容具为基础形象，能装万物能聚万财。
该套纪念品共计发售188件，本件藏品的编号为「123」。",拍卖会购买，标价为起拍价,家装、可购买、特殊获取,装饰,工艺品,M,拍卖会系列,840,4200,,贺·卡佩,,
挽香瓶,蓝,5000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。瓶身修长，常用于插置单枝或少量花束，为家居增添雅致氛围。,Oops! Chest礼品店(米格尔区),家装、可购买,装饰,工艺品,S,Oops! Chest摆件系列,10,50,,挽香瓶,,
圆腹瓶-红,蓝,5000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。红色的圆腹瓶，可用于插花或收纳小型物件，适配多种家居风格，丰富空间层次。,Oops! Chest礼品店(米格尔区),家装、可购买,装饰,工艺品,S,Oops! Chest摆件系列,10,50,,圆腹瓶-红,,
圆腹瓶-棕,蓝,15000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,必不可少的家具摆件。棕色的圆腹瓶，可用于插花或收纳小型物件，适配多种家居风格，丰富空间层次。,Oops! Chest礼品店(米格尔区),家装、可购买,装饰,工艺品,S,Oops! Chest摆件系列,30,150,,圆腹瓶-棕,,
青蓝色弦乐,蓝,480000,古董可不需要有任何功能，它的存在就是为了收藏。收录后增加收藏值，摆放在家中可增加舒适度。,"「据说只要在傍晚时分，用这把小提琴演奏，或许能见到未来。」
——上一任买家试过了，是假的。
但这依旧是一把做工精良的小提琴，明明只有四根弦，但从琴弦中流淌出的旋律，却能紧紧抓住听者的心。
「略显平淡的演奏，但若能配上青春的旋律，也会看到充满希望的未来吧。」在这把琴的琴盒中这样写道。","拍卖会购买，标价为起拍价
【在乐器分类但目前不能弹奏，何意味？】",家装、可购买、特殊获取,装饰,乐器,S,拍卖会系列,960,4800,,青蓝色弦乐,,
蓝调钢琴,金,100000,装饰家里的钢琴，收录后增加收藏值，摆放在家中可增加舒适度。,音色优美的家用三角钢琴。精美的三角造型与深蓝色涂装相结合，连手中的果汁似乎都变成了香槟。,超规格家饰馆(绘空町),家装、可购买,装饰,乐器,L,,200,1000,,蓝调钢琴,,
家用娱乐桌,金,150000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。家庭全自动娱乐小桌，高度适中，搭配舒适座椅，是与伙伴一同娱乐，放松身心的不错选择。,超规格家饰馆(绘空町),家装、可购买,装饰,家庭休闲,L,,300,1500,,家用娱乐桌,,
家用演出台,金,120000,可以装饰家里的小型舞台，收录后增加收藏值，摆放在家中可增加舒适度。,可在家中放置的小型舞台。功能齐全，可以随时约几个朋友来家中，开一场属于友谊的演唱会。,超规格家饰馆(新赫兰德区),家装、可购买,装饰,家庭休闲,L,,120,600,,家用演出台,,
家用箭靶,金,80000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,适合射箭初学者的家用道具，加密加厚复合材质，提高了耐用性。,超规格家饰馆(绘空町),家装、可购买,装饰,家庭休闲,S,,160,800,,家用箭靶,,
阿瑞斯跑步机,金,100000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,专业护膝，十五级坡度调节，每天坚持十分钟，感受运动的乐趣。,超规格家饰馆(米格尔区),家装、可购买、可互动,装饰,家庭休闲,L,,200,1000,安魂曲,阿瑞斯跑步机,,
阿瑞斯动感单车,金,100000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,家用动感单车，超强减震，智能调阻，全新自发电系统，一踩即可享受健康时光。,超规格家饰馆(绘空町),家装、可购买,装饰,家庭休闲,M,,200,1000,,阿瑞斯动感单车,,
健身垫-蓝,金,50000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,家中常见的健身好物。防滑的蓝色健身垫，抓地耐磨，回弹减震，是在家中做轻锻炼的好伙伴。,超规格家饰馆(米格尔区),家装、可购买、可互动,装饰,家庭休闲,S,,60,300,"法帝娅
九原",健身垫-蓝,,
健身垫-粉,金,50000,可以增加幸福感的家装，收录后增加收藏值，摆放在家中可增加舒适度。,家中常见的健身好物。防滑的粉色健身垫，抓地耐磨，回弹减噪，是在家中做轻锻炼的好伙伴。,超规格家饰馆(米格尔区),家装、可购买、可互动,装饰,家庭休闲,S,,60,300,"法帝娅
九原",健身垫-粉,,
黑铁四人座,蓝,9000,「一咖舍」专用焕新家装之一，可以提高本店150的人气值。,稍显硬核的废土工业风，四杯加冰无糖咖啡和一个天马行空的想法，末日求生计划现在开始！,"超规格家饰馆(绘空町)
超规格家饰馆(米格尔区)
超规格家饰馆(新赫兰德区)
【实际只有绘空町店能买】
【其他店没有一咖舍用家具购买入口对话】",家装、可购买,一咖舍,桌子,L,超规格一咖舍系列,18,90,,黑铁四人座,,
奶油四人座,蓝,5500,「一咖舍」专用焕新家装之一，可以提高本店125的人气值。,荣登海特洛装修喜好榜榜首的清新风格，时间被加速了，沦陷在奶油的陷阱中吧。,"超规格家饰馆(绘空町)
超规格家饰馆(米格尔区)
超规格家饰馆(新赫兰德区)
【实际只有绘空町店能买】
【其他店没有一咖舍用家具购买入口对话】",家装、可购买,一咖舍,桌子,L,超规格一咖舍系列,11,55,,奶油四人座,,
抱朴四人座,蓝,2500,「一咖舍」专用焕新家装之一，可以提高本店100的人气值。,返璞归真的原木风格，人世熙攘，不如邀三五好友煮茶对弈……抱歉，本店不售卖纯茶。,"超规格家饰馆(绘空町)
超规格家饰馆(米格尔区)
超规格家饰馆(新赫兰德区)
【实际只有绘空町店能买】
【其他店没有一咖舍用家具购买入口对话】",家装、可购买,一咖舍,桌子,L,超规格一咖舍系列,5,25,,抱朴四人座,,
黑铁双人座,蓝,7500,「一咖舍」专用焕新家装之一，可以提高本店120的人气值。,稍显硬核的废土工业风，请放心店内常年保持恒温，不会发生椅子咬人事件。,超规格家饰馆(绘空町),家装、可购买,一咖舍,桌子,M,超规格一咖舍系列,15,75,,黑铁双人座,,
奶油双人座,蓝,4500,「一咖舍」专用焕新家装之一，可以提高本店100的人气值。,荣登海特洛装修喜好榜榜首的清新风格，如同奶油一样软糯的感觉连心情都变甜了。,超规格家饰馆(绘空町),家装、可购买,一咖舍,桌子,M,超规格一咖舍系列,9,45,,奶油双人座,,
抱朴双人座,蓝,2000,「一咖舍」专用焕新家装之一，可以提高本店80的人气值。,返璞归真的原木风格，很适合在午后点一杯咖啡静静享受，远离城市的喧嚣。,超规格家饰馆(绘空町),家装、可购买,一咖舍,桌子,M,超规格一咖舍系列,4,20,,抱朴双人座,,
